mixers,votes,runtime
5,10,6
5,100,2
5,1000,4
5,10000,23
5,100000,342
6,10,2
6,100,2
6,1000,4
6,10000,28
6,100000,366
7,10,2
7,100,2
7,1000,5
7,10000,32
7,100000,400
8,10,2
8,100,2
8,1000,5
8,10000,37
8,100000,445
9,10,2
9,100,2
9,1000,5
9,10000,41
9,100000,486
10,10,2
10,100,2
10,1000,6
10,10000,46
10,100000,528
11,10,2
11,100,2
11,1000,6
11,10000,50
11,100000,585
12,10,2
12,100,2
12,1000,7
12,10000,56
12,100000,716
13,10,3
13,100,3
13,1000,8
13,10000,65
13,100000,742
14,10,3
14,100,3
14,1000,9
14,10000,69
14,100000,819
15,10,3
15,100,3
15,1000,9
15,10000,74
15,100000,974
16,10,4
16,100,3
16,1000,10
16,10000,80
16,100000,2144
17,10,3
17,100,3
17,1000,9
17,10000,82
17,100000,2674
18,10,3
18,100,3
18,1000,9
18,10000,82
18,100000,3137
19,10,4
19,100,3
19,1000,10
19,10000,90
19,100000,4225
20,10,4
20,100,3
20,1000,11
20,10000,99
20,100000,2466
